Endpoint|"Species NCBI TaxID"|"Species ECOTOX Number"|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|197464|39433|
LC50|996475|31065|
LC50|996475|31065|
LC50|236578|5984|
LC50||5899|
LC50|415615|5911|
LC50||29050|
LC50|236578|5984|
LC50|415615|5911|
LC50||29050|
LC50|84645|202|
LC50|84645|202|
LC50|84645|202|
LC50|72446|572|
LC50|72446|572|
LC50|84645|202|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|515277|40974|
LC50|35525|5|
LC50|35525|5|
LC50|143606|11739|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|35525|5|
LC50|35525|5|
LC50|143606|11739|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|6763|76|
LC50|52641|372|
LC50|52641|372|
LC50|6763|76|
LC50|52641|372|
LC50|6763|76|
LC50|52641|372|
LC50|52641|372|
LC50|6763|76|
LC50|52641|372|
LC50|7955|5156|
LC50|7955|5156|
LC50|35525|5|
LC50|315576|964|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|7159|230|
LC50|38577|1194|
LC50|112780|19979|
LC50|112780|19979|
LC50|112780|19979|
LC50|52641|372|
LC50|52641|372|
LC50|52641|372|
LC50|52641|372|
LC50|52641|372|
LC50|52641|372|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|58519|30614|
LC50|58519|30614|
LC50|145282|28123|
LC50|746529|28850|
LC50|6660|421|
LC50|224134|29493|
LC50|6660|421|
LC50||2714|
LC50|224134|29493|
LC50|6660|421|
LC50|35525|5|
LC50|52641|372|
LC50|35525|5|
LC50|52641|372|
LC50|52641|372|
LC50|52641|372|
LC50|52641|372|
LC50|117530|2371|
LC50|35525|5|
LC50|117530|2371|
LC50|52641|372|
LC50|272067|28845|
LC50|84645|202|
LC50|84645|202|
LC50|84645|202|
LC50|13013|2079|
LC50|84645|202|
LC50|510768|28849|
LC50|84645|202|
LC50|268477|28846|
LC50|8128|485|
LC50|268476|7370|
LC50|8128|485|
LC50|30879|128|
LC50|8128|485|
LC50|42526|20159|
LC50|7175|210|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7175|210|
LC50|136726|1843|
LC50|7176|397|
LC50|7176|397|
LC50|7175|210|
LC50|7176|397|
LC50|7175|210|
LC50|7175|210|
LC50|7176|397|
LC50|7175|210|
LC50|7175|210|
LC50|7176|397|
LC50|1161193|28851|
LC50|7175|210|
LC50|7176|397|
LC50|7176|397|
LC50|7175|210|
LC50||28852|
LC50|7176|397|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50|1213213|51775|
LC50|527797|28853|
LC50||16354|
LC50|28743|86|
LC50|28743|86|
LC50|28743|86|
LC50|7175|210|
LC50|7175|210|
LC50||1847|
LC50||1579|
LC50||1847|
LC50||1579|
LC50||1579|
LC50||1847|
LC50||1579|
LC50||1847|
LC50||1847|
LC50||1579|
LC50||1579|
LC50||1847|
LC50||1847|
LC50||1579|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|8364|27767|
LC50|8364|27767|
LC50|8364|27767|
LC50|8364|27767|
LC50|6720|5528|
LC50|6720|5528|
LC50|6720|5528|
LC50|90988|1|
LC50|7955|5156|
LC50|7175|210|
LC50|7175|210|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|7955|5156|
LC50|7955|5156|
LC50|7175|210|
LC50|7175|210|
LC50|7955|5156|
LC50|45438|2353|
LC50|45438|2353|
LC50|45438|2353|
LC50|45438|2353|
LC50|7955|5156|
LC50||1847|
LC50|55967|29537|
LC50|7159|230|
LC50|8355|206|
LC50|8355|206|
LC50|8355|206|
LC50/||18268|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|7955|5156|
LC50/|50429|20669|
LC50/|50429|20669|
LC50/|50429|20669|
LC50/|50429|20669|
LC50/|50429|20669|
LC50/|50429|20669|
LC50/|50429|20669|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|136180|376|
LC50|136180|376|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|50429|20669|
LC50|50429|20669|
LC50|50429|20669|
LC50|50429|20669|
LC50|50429|20669|
LC50|46731|4589|
LC50|50429|20669|
LC50|50429|20669|
LC50|48500|4661|
LC50|50429|20669|
LC50|262287|43651|
LC50|63558|4796|
LC50|50429|20669|
LC50|50429|20669|
LC50|104758|4683|
LC50|6130|26011|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50||1847|
LC50|55967|29537|
LC50||1847|
LC50|7159|230|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50||16801|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|56106|1341|
LC50|6660|421|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7176|397|
LC50||2422|
LC50|7159|230|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50||1640|
LC50|8364|27767|
LC50|8364|27767|
LC50|8364|27767|
LC50|8364|27767|
LC50|52641|372|
LC50|52641|372|
LC50|52641|372|
LC50|52641|372|
LC50|52641|372|
LC50|52641|372|
LC50|8127|134|
LC50|8127|134|
LC50|84645|202|
LC50|8127|134|
LC50|8127|134|
LC50|84645|202|
LC50|35525|5|
LC50|90988|1|
LC50|90988|1|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|75329|997|
LC50|75329|997|
LC50|75329|997|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50||27853|
LC50|37268|2195|
LC50|7955|5156|
LC50|35525|5|
LC50|7962|21|
LC50|7962|21|
LC50|7962|21|
LC50|7159|230|
LC50|104385|4734|
LC50|37268|2195|
LC50|8081|28|
LC50/|6087|2807|
LC50|1213214|16102|
LC50|84645|202|
LC50|304456|418|
LC50|8019|23|
LC50|8019|23|
LC50|7955|5156|
LC50|90988|1|
LC50|7955|5156|
LC50|7955|5156|
LC50|8022|4|
LC50||31668|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50||1847|
LC50||1847|
LC50|7159|230|
LC50|6565|67|
LC50|6565|67|
LC50|6565|67|
LC50|6596|55|
LC50|6596|55|
LC50|6596|55|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
