Endpoint|"Species NCBI TaxID"|"Species ECOTOX Number"|
LC50|36177|2516|
LC50|7910|2519|
LC50|54333|16176|
LC50|54333|16176|
LC50|28743|86|
LC50|28743|86|
LC50|8090|109|
LC50/|8090|109|
LC50|90988|1|
LC50/|8090|109|
LC50|28743|86|
LC50|8090|109|
LC50|90988|1|
LC50|90988|1|
LC50/|8090|109|
LC50|8090|109|
LC50|8022|4|
LC50|8022|4|
LC50|154827|2617|
LC50|453929|11783|
LC50|72053|11611|
LC50|170859|4810|
LC50|641303|11503|
LC50|87719|17099|
LC50|7907|2514|
LC50|72053|11611|
LC50|323265|11784|
LC50|68464|16178|
LC50|209197|11660|
LC50|641303|11503|
LC50|209197|11660|
LC50|453929|11783|
LC50|232998|2599|
LC50|154827|2617|
LC50|323265|11784|
LC50|170859|4810|
LC50|323265|11784|
LC50|204490|17101|
LC50|232998|2599|
LC50|87719|17099|
LC50|204490|17101|
LC50|7907|2514|
LC50|68464|16178|
LC50|6087|2807|
LC50|6087|2807|
LC50|6087|2807|
LC50|6087|2807|
LC50|6087|2807|
LC50|6087|2807|
LC50|6087|2807|
LC50|6087|2807|
LC50|6087|2807|
LC50|6087|2807|
LC50|6087|2807|
LC50|6087|2807|
LC50|464319|20357|
LC50|109671|899|
LC50|52375|5767|
LC50|129788|1109|
LC50|109671|899|
LC50|109671|899|
LC50|109671|899|
LC50|82299|20356|
LC50|82299|20356|
LC50|52396|374|
LC50|82299|20356|
LC50|464319|20357|
LC50|464319|20357|
LC50|82299|20356|
LC50|464319|20357|
LC50|52395|17110|
LC50|440573|17109|
LC50|96914|17111|
LC50|82299|20356|
LC50|82299|20356|
LC50|82299|20356|
LC50|52383|5940|
LC50|52383|5940|
LC50|52383|5940|
LC50|52383|5940|
LC50|52383|5940|
LC50|52383|5940|
LC50|52383|5940|
LC50|52383|5940|
LC50|52383|5940|
LC50|52383|5940|
LC50|52383|5940|
LC50|52383|5940|
LC50|45954|218|
LC50|45954|218|
LC50|45954|218|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|50959|494|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|50959|494|
LC50|35525|5|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|35525|5|
LC50|8130|2495|
LC50|6082|4660|
LC50|6082|4660|
LC50|6082|4660|
LC50|35525|5|
LC50|117530|2371|
LC50|90988|1|
LC50|38577|1194|
LC50||5899|
LC50|8022|4|
LC50|41808|542|
LC50|7152|122|
LC50||26150|
LC50|7962|21|
LC50|35525|5|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|8022|4|
LC50|38577|1194|
LC50|117530|2371|
LC50|35525|5|
LC50|117530|2371|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|443752|4548|
LC50|8038|3|
LC50|13106|2|
LC50|8022|4|
LC50|8022|4|
LC50|1972777|27319|
LC50|7962|21|
LC50|7955|5156|
LC50|8355|206|
LC50|91582|2638|
LC50|91582|2638|
LC50|8090|109|
LC50|104777|1747|
LC50|1003157|4772|
LC50|13013|2079|
LC50|13013|2079|
LC50|13013|2079|
LC50|1003157|4772|
LC50|1003157|4772|
LC50|8128|485|
LC50|8128|485|
LC50|1003157|4772|
LC50|13013|2079|
LC50|8128|485|
LC50|8128|485|
LC50|1003157|4772|
LC50|8128|485|
LC50|13013|2079|
LC50|7957|25|
LC50|7176|397|
LC50|7176|397|
LC50||2422|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50|7160|1770|
LC50||16801|
LC50||16801|
LC50||16801|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8389|765|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50|8389|765|
LC50||16801|
LC50||16801|
LC50||16801|
LC50||16801|
LC50||16801|
LC50||16801|
LC50||16801|
LC50|8355|206|
LC50|35525|5|
LC50|117530|2371|
LC50|117530|2371|
LC50|35525|5|
LC50|117530|2371|
LC50|35525|5|
LC50|117530|2371|
LC50|35525|5|
LC50|90988|1|
LC50|90988|1|
LC50|7176|397|
